,,,sysbench,,,y-cruncher,,,pgbench,,,iperf,,,,,,
instanceID,setId,tenants,sysbench_wall_time,sysbench_std,sysbench_cv,ycruncher_wall_time,ycruncher_std,ycruncher_cv,pgbench_transactions,pgbench_std,pgbench_cv,bandwidthUpload,bandwitdhDownload,iperf_total,stdUp,stdDown,stdTotal,iperf_cv
i-08ff78a502245298a,0,48,9.04285362,0.007381576036,0.0008162883472,6.549427986,0.04992342296,0.007622562316,123412.3333,704.3673284,0.005707430606,490.3,491.9,982.2,264.1283568,170.6422183,416.0971575,0.4236379123
i-095d06d26dd29ecec,0,48,9.045044766,0.008877398164,0.0009814653651,6.447940721,0.07089156091,0.01099444985,124327.6667,755.2260147,0.006074480725,508.9,536.6,1045.5,147.077795,197.2433353,302.1773762,0.289026663
i-0977cb2af690d36fd,0,48,9.045972877,0.01244674836,0.001375943586,6.512336572,0.03446448171,0.005292183739,124736.3333,697.5738909,0.005592387337,419.5,529.8,949.3,126.230169,109.3595497,157.6642354,0.1660847312
i-09c658651b17c197e,0,48,9.044664992,0.006799473732,0.0007517662332,6.534470532,0.06950158619,0.01063614655,121159.3333,632.7474483,0.005222440821,577.6,527.8,1105.4,264.3311055,123.6696316,356.6243589,0.3226201908
i-0ab84c959b473605a,0,48,9.043553882,0.005767131263,0.0006377062976,6.521531714,0.06281018677,0.009631201613,123040,39.39543121,0.0003201839337,681.6,832.8,1514.4,391.6628936,555.3573024,912.9689297,0.6028585114
i-0aecb3d1daeccc874,0,48,9.042002015,0.006204144095,0.0006861471701,6.554966238,0.05274229505,0.008046158155,124828.3333,399.5814477,0.003201047687,480.7,607.6,1088.3,156.0584292,158.9180082,290.3010124,0.2667472318
i-0b138e3642a677559,0,48,9.046331935,0.007391528414,0.0008170746405,6.512674544,0.07682182485,0.01179574142,123374.3333,632.0967753,0.005123405803,461.8,592.1,1053.9,179.9449298,354.2822008,480.0919935,0.45553847
i-0b3a38b18367faa71,0,48,9.041518821,0.004723592924,0.0005224335665,6.42095542,0.06184486818,0.009631723651,122475.6667,179.0595804,0.001462001272,1052.2,791.4,1843.6,738.1870886,446.0140008,1157.70023,0.6279562974
i-0ba417327f988ba2b,0,48,9.051400609,0.008276825714,0.0009144248577,6.564233223,0.05542845702,0.00844401092,122970.6667,512.4747148,0.004167454961,650.2,896.4,1546.6,399.848249,490.0578651,762.3348929,0.4929101855
i-0bfaa8f4e041c36fa,0,48,9.042822626,0.005352196794,0.0005918723628,6.510713047,0.04071012403,0.006252790399,124206.6667,560.102074,0.004509436482,741.8,729.1,1470.9,508.0721296,294.0897255,758.9448011,0.5159730785
