instanceID,bandwidthUpload,bandwitdhDownload,total,setId,tenants,stdUp,stdDown,stdTotal
i-06b96f53253b4cc2e,4970.0,4745.0,9715.0,1,1,0.0,321.6018933056487,321.6018933056487
i-06b96f53253b4cc2e,4970.0,4908.0,9878.0,2,2,0.0,100.42133460796288,100.42133460796293
i-0d44050a4e6a71d7c,4970.0,4856.0,9826.0,2,2,0.0,141.98591479439074,141.98591479439082
i-06b96f53253b4cc2e,4970.0,4711.0,9681.0,3,3,0.0,747.580541926197,747.5805419261973
i-0c3e9f9e7b281edfe,4970.0,4940.0,9910.0,3,3,0.0,64.8074069840786,64.80740698407861
i-0d44050a4e6a71d7c,4970.0,4879.0,9849.0,3,3,0.0,109.28555866780074,109.28555866780081
i-06b96f53253b4cc2e,4970.0,4883.0,9853.0,4,4,0.0,94.63966751139102,94.63966751139112
i-07be1c77f6fdf8eda,4970.0,4689.0,9659.0,4,4,0.0,746.7775215327966,746.7775215327969
i-0c3e9f9e7b281edfe,4964.0,4938.0,9902.0,4,4,18.973665961010287,59.21711464320654,60.88240030309788
i-0d44050a4e6a71d7c,4970.0,4886.0,9856.0,4,4,0.0,111.9722187767027,111.97221877670289
i-06b96f53253b4cc2e,2756.8,3347.4,6104.2,5,5,1972.8208118213768,1601.7215876813436,2235.5789605578434
i-07be1c77f6fdf8eda,4943.0,3884.0,8827.0,5,5,30.20301677353143,949.7742421813255,954.4521407010885
i-0c3e9f9e7b281edfe,4917.0,4031.0,8948.0,5,5,67.66748767974832,970.2170433006787,975.1786161177517
i-0d44050a4e6a71d7c,4919.0,4117.0,9036.0,5,5,58.20461990063834,883.7300995716333,893.2114344692787
i-0ede59d8254436a40,4950.0,4477.0,9427.0,5,5,35.59026084010436,678.8069599590806,686.4247146547747
i-06b96f53253b4cc2e,744.5,749.8,1494.3,6,6,1.5811388300841878,558.4456205496746,557.3275617723486
i-07be1c77f6fdf8eda,4786.0,3417.0,8203.0,6,6,174.43241289011246,1009.6759656224147,1164.4173554949177
i-095d06d26dd29ecec,4768.0,4028.0,8796.0,6,6,139.7458009705082,942.2290356147785,955.1288452931946
i-0c3e9f9e7b281edfe,4808.0,3443.0,8251.0,6,6,188.13706587367508,1007.6270253532416,1047.1596503558246
i-0d44050a4e6a71d7c,3714.5,3803.2,7517.7,6,6,1634.000628994847,1291.5916795437583,2392.3474315686963
i-0ede59d8254436a40,4940.0,4054.0,8994.0,6,6,94.86832980505137,974.2256184044616,958.6703755143833
i-002f7e27ea3e0bc1c,4746.0,3774.0,8520.0,7,7,289.067466173556,1126.6489150475306,1301.8875186094654
i-06b96f53253b4cc2e,752.0,749.2,1501.2,7,7,21.822516404443874,241.9842970111904,242.2481739410594
i-07be1c77f6fdf8eda,4565.0,3836.0,8401.0,7,7,255.13612924171372,1136.0672906517857,1060.6963121773672
i-095d06d26dd29ecec,4567.0,3162.0,7729.0,7,7,299.18593252728675,1021.0103928081352,1005.7992951987103
i-0c3e9f9e7b281edfe,4401.0,3276.0,7677.0,7,7,562.4440712936118,1148.4211383944094,1180.4617740528493
i-0d44050a4e6a71d7c,750.6,1706.7,2457.3,7,7,19.568682462887818,1479.7167183845245,1493.177748591536
i-0ede59d8254436a40,4681.0,4097.0,8778.0,7,7,310.71423097974343,965.6091917080694,995.2085208638439
i-002f7e27ea3e0bc1c,4623.0,4154.0,8777.0,8,8,446.14521801265056,974.3966794324008,1288.3240620623715
i-02ca0e36a4acaf9fc,4531.0,3428.0,7959.0,8,8,378.34287800001385,1038.8112864658763,1188.15870619674
i-06b96f53253b4cc2e,751.7,743.6,1495.3,8,8,23.683327468917877,337.93497073319367,328.9599941904453
i-07be1c77f6fdf8eda,4287.0,2827.0,7114.0,8,8,79.72870666621071,898.7528395875402,921.1611030529774
i-095d06d26dd29ecec,4254.0,3702.0,7956.0,8,8,276.89548770449676,1188.0965168425223,1171.107737713885
i-0c3e9f9e7b281edfe,742.6,2159.2,2901.8,8,8,2.547329756605719,1505.8367035564572,1503.300723962663
i-0d44050a4e6a71d7c,752.3,738.7,1491.0,8,8,23.828321151287373,446.494755474985,453.1144079221788
i-0ede59d8254436a40,4612.0,3286.0,7898.0,8,8,333.5932320123484,979.2423375015787,1172.20400196477
i-002f7e27ea3e0bc1c,4208.0,2815.0,7023.0,9,9,421.3417720673906,943.8131877301425,1297.887599995555
i-02ca0e36a4acaf9fc,4204.0,2922.0,7126.0,9,9,599.1327065016565,1003.8238003864136,1237.3376436706533
i-06b96f53253b4cc2e,752.5,744.0,1496.5,9,9,25.504901489713724,357.28699948360844,357.81008308256986
i-07be1c77f6fdf8eda,948.8,2211.5,3160.3,9,9,533.0390438065697,1335.328694450255,1414.0802311043033
i-08559b79281547ef2,4353.0,3017.0,7370.0,9,9,474.83447408310377,984.6606860572157,980.1133721270322
i-095d06d26dd29ecec,4332.0,3010.0,7342.0,9,9,589.2895911368385,980.7253551439477,1475.4871135398716
i-0c3e9f9e7b281edfe,743.1,1892.6,2635.7,9,9,2.1317702607092492,1403.8311231135394,1401.7344850814889
i-0d44050a4e6a71d7c,744.6,695.4,1440.0,9,9,0.9660917830792821,256.8956554279924,256.0603227540122
i-0ede59d8254436a40,4269.0,3272.0,7541.0,9,9,481.4895868263635,1023.5537221964572,845.254070942249
i-002f7e27ea3e0bc1c,4592.0,3758.0,8350.0,10,10,621.1065394385519,709.3001245359166,1001.2658654589866
i-00d71d40b42658392,3836.0,3422.0,7258.0,10,10,823.7475341389496,1290.4503951032843,1377.2016716677497
i-02ca0e36a4acaf9fc,4108.0,2433.0,6541.0,10,10,651.285907519373,904.2375548248124,1277.1361190831096
i-06b96f53253b4cc2e,743.8,785.4,1529.2,10,10,0.918936583472687,202.5795865552324,201.79681750601407
i-07be1c77f6fdf8eda,749.7,2182.8,2932.5,10,10,25.060149862104023,1406.031199274516,1400.9578667627534
i-08559b79281547ef2,3787.0,1911.0,5698.0,10,10,759.2401171932074,203.49447166937975,920.0338158036487
i-095d06d26dd29ecec,3688.0,3580.0,7268.0,10,10,740.7773694647476,1230.4199824992006,1434.8503599872552
i-0c3e9f9e7b281edfe,743.8,1405.9,2149.7,10,10,10.44349877515513,719.3571899040605,718.650131225975
i-0d44050a4e6a71d7c,752.3,778.9,1531.2,10,10,24.88216675095282,397.4097940972825,412.10915490383803
i-0ede59d8254436a40,1567.6,1780.3,3347.9,10,10,1362.9407095606828,895.2769962419452,1771.6765725655957
i-002f7e27ea3e0bc1c,4302.0,2970.0,7272.0,11,11,869.7355920048344,1157.718062012989,1855.5310710294116
i-00d71d40b42658392,3300.0,2573.0,5873.0,11,11,615.9365046640585,1150.8359280685206,1194.1807977763576
i-02ca0e36a4acaf9fc,3292.0,2595.0,5887.0,11,11,704.7584298498633,1178.5325149900993,1413.0506792830263
i-067b2519b614c8f9d,3241.0,2028.0,5269.0,11,11,767.122328358826,583.4533209930146,1251.6873056443096
i-06b96f53253b4cc2e,752.6,751.2,1503.8,11,11,25.82074962333804,503.32158926696377,496.9993963779031
i-07be1c77f6fdf8eda,744.3,1324.0,2068.3,11,11,1.567021236472435,1037.1351567338431,1035.6087903579548
i-08559b79281547ef2,3743.0,2653.0,6396.0,11,11,956.2664668153723,1226.9569402930704,1627.371432027052
i-095d06d26dd29ecec,2954.0,2691.6,5645.6,11,11,941.1482348705755,1255.9348178415416,1668.5863078266784
i-0c3e9f9e7b281edfe,744.1,1010.3,1754.4,11,11,0.8755950357709099,460.04131456980144,459.5609498931198
i-0d44050a4e6a71d7c,752.0,715.2,1467.2,11,11,23.92116682401221,352.69527294189186,345.42206067360553
i-0ede59d8254436a40,751.4,1710.1,2461.5,11,11,24.927450286336494,1565.6756049705825,1565.321425991054
i-002f7e27ea3e0bc1c,2828.2,2994.0,5822.2,12,12,1489.0866551905792,1188.044144335087,1923.4770483568439
i-00d71d40b42658392,3306.0,1876.0,5182.0,12,12,600.8919296438513,443.0500347966732,1002.2840582057231
i-02ca0e36a4acaf9fc,3867.0,2997.0,6864.0,12,12,1195.036494096403,1090.8004196715162,1567.4196771906509
i-067b2519b614c8f9d,2699.0,1807.0,4506.0,12,12,532.7799212099161,597.793163783818,1014.9789269843103
i-06b96f53253b4cc2e,751.6,714.5,1466.1,12,12,23.707476551595363,265.6828727804803,256.5343598385561
i-07be1c77f6fdf8eda,751.6,1442.0,2193.6,12,12,23.707476551595377,665.6166731351879,665.2164560001003
i-08559b79281547ef2,3401.0,2345.0,5746.0,12,12,1088.2549742081994,1088.2733520990437,1430.2152130205984
i-095d06d26dd29ecec,1387.1,1309.2,2696.3,12,12,829.8021785676124,513.1237234386612,1033.1538607584062
