experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.052401781082153, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.95ms,9.0264s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.053935050964355, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.32ms,9.0341s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.061919689178467, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.58ms,9.0421s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.071732759475708, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.07ms,9.0514s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.054177522659302, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.12ms,9.0332s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.056898593902588, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.44ms,9.0345s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.054086685180664, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.91ms,9.0346s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.054105520248413, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.24ms,9.0337s,2
1573767432-0,i-0eb7976be5aeffcb4,m5d.large,9.054484367370605, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.10ms,9.0343s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.055462837219238, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.24ms,9.0257s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.045480489730835, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.24ms,9.0251s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.040028810501099, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.59ms,9.0212s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.0417320728302, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.26ms,9.0220s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.06719446182251, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.66ms,9.0475s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.043457508087158, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.45ms,9.0221s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.042895078659058, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.68ms,9.0228s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.043549060821533, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.38ms,9.0246s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.0397207736969, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.50ms,9.0205s,2
1573767432-0,i-02318c82e163422e3,m5d.large,9.052014827728271, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.97ms,9.0324s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.788162708282471, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.22ms,7.7616s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.780109643936157, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.70ms,7.7602s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.781037330627441, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.65ms,7.7606s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.781964302062988, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.00ms,7.7630s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.788924932479858, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1553.44ms,7.7698s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.797786235809326, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1553.30ms,7.7788s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.780584096908569, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.46ms,7.7612s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.783275127410889, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.79ms,7.7623s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.782650470733643, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1552.28ms,7.7627s,2
1573767432-0,i-0b9d71dac855d7716,m5d.large,7.781225204467773, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1551.59ms,7.7615s,2
1573767432-0,i-0184f3296c5ced0a3,m5d.large,9.075314044952393, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.32ms,9.0331s,2
