setId,tenants,wallTime,std,normalized
47.0,1,9.0431673765,0.00563917260698994,100.0%
46.0,2,9.17610403305,0.21413578918101508,98.53%
45.0,3,9.042706092166666,0.008405507737652433,100.01%
44.0,4,9.043183499574997,0.0073790971407434,100.0%
43.0,5,9.045564446380002,0.02029442292783656,99.97%
42.0,6,9.043028298966668,0.005800311623492004,100.0%
41.0,7,9.04650092805714,0.030418865292733636,99.96%
40.0,8,9.043410599250002,0.006187534109990718,100.0%
39.0,9,9.044375175944442,0.01584018112358438,99.99%
38.0,10,9.04390251163,0.007662359757987134,99.99%
37.0,11,9.043283982681814,0.007737089350989978,100.0%
36.0,12,9.044661714666669,0.008464572094519495,99.98%
35.0,13,9.046932224138457,0.026732909399208332,99.96%
34.0,14,9.045984223871425,0.024355945952242587,99.97%
33.0,15,9.043885513939994,0.013347652621525511,99.99%
32.0,16,9.043492661462501,0.007456595302521294,100.0%
31.0,17,9.043513657094124,0.007980032632870362,100.0%
30.0,18,9.043136081461112,0.0077380265998371715,100.0%
29.0,19,9.043840210063157,0.009631203269409562,99.99%
28.0,20,9.04408652659,0.007405523427105899,99.99%
27.0,21,9.043485991166667,0.0077151264643035575,100.0%
26.0,22,9.043809413881819,0.007160443896946715,99.99%
25.0,23,9.044722329026085,0.01004717109370181,99.98%
24.0,24,9.045082622766662,0.007017758995509276,99.98%
23.0,25,9.045470353147996,0.006258633402288022,99.97%
22.0,26,9.054547523534618,0.012365818347944113,99.87%
21.0,27,9.052628540977775,0.011243371975585855,99.9%
20.0,28,9.053548204060716,0.010047858203983105,99.89%
19.0,29,9.05474175996206,0.010030633961595698,99.87%
18.0,30,9.059145460119998,0.011395404283478159,99.82%
17.0,31,9.064023666996773,0.012988801431021688,99.77%
16.0,32,9.05264383106562,0.011174215145750224,99.9%
15.0,33,9.051516528578793,0.01039287006789872,99.91%
14.0,34,9.04667584968235,0.007935182832313386,99.96%
13.0,35,9.052852240942865,0.010594012173916626,99.89%
12.0,36,9.05599095624167,0.013033554681071724,99.86%
11.0,37,9.054021289543233,0.014382923066485673,99.88%
10.0,38,9.061005148131589,0.019548130845277883,99.8%
9.0,39,9.053849020384614,0.014105839094120947,99.88%
8.0,40,9.050091090800004,0.010725150857863198,99.92%
7.0,41,9.047072041914628,0.007678383740182227,99.96%
6.0,42,9.049451603788093,0.012371066295131317,99.93%
5.0,43,9.051156320116277,0.009899427375760349,99.91%
4.0,44,9.054338184275,0.01637007010629253,99.88%
3.0,45,9.049531453991113,0.012053378397990698,99.93%
2.0,46,9.054979642578267,0.012920963570938148,99.87%
1.0,47,9.0587342566766,0.015163731020212071,99.83%
0.0,48,9.059405858802082,0.033834756760315415,99.82%
