setId,tenants,wallTime,std,normalized
23,1,4.2022321226666675,0.03875007268765449,100.0%
22,2,4.278885006833334,0.027298055693277323,98.18%
21,3,4.245900313,0.04227532689433136,98.96%
20,4,4.325111468583334,0.10534085474595864,97.08%
19,5,4.4486508846,0.17048235676360787,94.14%
18,6,4.452941762111112,0.11967926960212542,94.03%
17,7,4.593540827380953,0.1486583452440641,90.69%
16,8,4.602919399708333,0.18679790207649455,90.46%
15,9,4.651860634481482,0.22051622936152643,89.3%
14,10,4.664690748866666,0.2095583731558781,88.99%
13,11,4.717966939454545,0.1950985232567876,87.73%
12,12,4.752848678194444,0.1870906162335343,86.9%
11,13,4.78038076251282,0.2134355728563881,86.24%
10,14,4.809281036952381,0.19734863799030153,85.55%
9,15,4.843896457866666,0.17485102025794608,84.73%
8,16,4.852708831458332,0.18021709125813123,84.52%
7,17,5.30316051309804,0.6898775661935865,73.8%
6,18,4.89786738825926,0.3454258852430865,83.45%
5,19,4.831710769438597,0.10270716470926346,85.02%
4,20,4.845309293233334,0.10154822781327302,84.7%
3,21,4.858286558698413,0.08902700391670812,84.39%
2,22,4.8595102845,0.08022352936418577,84.36%
1,23,4.903256938043478,0.110700634419282,83.32%
0,24,4.951481355527778,0.21938570961977746,82.17%
