instanceID,computationTime,benchmarkTime,wallTime,std_computationTime,std_benchmarkTime,std_wallTime
i-0062d028d4b1b0c17,4.748222222222221,4.948222222222221,5.384864780637953,0.011955937622973974,0.014033689623347386,0.013422097664523888
i-0069a2fb2881e526e,5.230888888888889,5.464666666666667,5.907726605733235,0.015185885259381592,0.044102154142400186,0.03878332183220799
i-0096e0731defa5bcf,5.24888888888889,5.489444444444445,5.9345277150472,0.016011280745496608,0.03625296922705467,0.03867113646832312
i-0098bacd16b57b4dc,4.147555555555555,4.365666666666666,4.802715725368923,0.008412952976082725,0.0360485783353516,0.037832525761432804
i-00a374920f339188c,4.355444444444444,4.592444444444443,5.019340303209093,0.013276964177769725,0.06967444135246262,0.0695244971277766
i-00b268a4ae508cf2f,4.680666666666667,4.873333333333333,5.31541026963128,0.01244989959798874,0.013729530217745875,0.05013876014230842
i-00c650a5bff4bf46c,5.13911111111111,5.378,5.818473895390828,0.013842366528564177,0.03333541660156698,0.03896054235948044
i-0127ff963ce39608f,5.226111111111113,5.47411111111111,5.913182126151191,0.008695464973830475,0.05774176227922981,0.057185324007054755
i-01630b674435938c1,4.179888888888889,4.381333333333333,4.803216007020739,0.007423685817106732,0.011236102527122026,0.012191492316380566
i-018b98b01134abbc5,5.136666666666667,5.345111111111112,5.793914927376641,0.00701783442380897,0.012414149633024403,0.01124839768094577
i-01e6e4abeaa36080f,5.1995555555555555,5.454777777777778,5.903581274880303,0.017500793632797843,0.03539695529907093,0.036640057834047994
i-02290982499d0a8b6,4.643777777777777,4.855555555555556,5.3072799576653376,0.018191878529839785,0.023627902525992082,0.027641692189324215
i-0260e33164c158580,4.6930000000000005,4.9047777777777775,5.3379429711235895,0.008366600265340893,0.011189032328331518,0.010540867179998617
i-0314d213ca75d492b,5.316777777777778,5.527,5.986180941263835,0.016588985636392724,0.017109938632268566,0.01633898926128566
i-031b2f76071a565fc,5.257999999999999,5.493444444444445,5.937421374850803,0.014186260959110969,0.04221703184471607,0.047549050063793515
