setId,tenants,wallTime,std,normalized
23,1,4.2838128410000005,0.039890990208804565,100.0%
22,2,4.4088277021666675,0.08954080404548348,97.08%
21,3,4.612912866777778,0.08680487211581206,92.32%
20,4,4.634714941166666,0.078819626771178,91.81%
19,5,4.749031575533333,0.08851851839542944,89.14%
18,6,4.753646479722223,0.04595500574833978,89.03%
17,7,4.779783839333335,0.04599877087901089,88.42%
16,8,4.8569073875,0.0738226800538309,86.62%
15,9,4.831630662555556,0.040167453953578465,87.21%
14,10,4.905666247933334,0.11876023054650282,85.48%
13,11,4.900135300363636,0.07002010757088016,85.61%
12,12,4.916130430111111,0.04505046797852965,85.24%
11,13,4.877986009307693,0.1893115181172787,86.13%
10,14,4.840836121976191,0.18913301155835674,87.0%
9,15,4.854638316888889,0.17104021683786155,86.67%
8,16,4.8214451819791675,0.14747214287597946,87.45%
7,17,4.875108443039213,0.12102949950314103,86.2%
6,18,4.860030099166668,0.09104788276809943,86.55%
5,19,4.860813471333334,0.0845937990723338,86.53%
4,20,4.872033596016667,0.07109502567583764,86.27%
3,21,4.902734786761905,0.09076782811088242,85.55%
2,22,4.909041787590908,0.08124784552544545,85.4%
1,23,4.911272601782611,0.04797169884496493,85.35%
0,24,5.03108369975,0.27052798139145606,82.56%
