python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.107334375,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.54ms,9.0637s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.060681343,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.99ms,9.0248s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.039546251,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.55ms,9.0173s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.049874067,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.83ms,9.0202s,2
1573168503-0,0,i-0168a97df13f7162a,m5d.large,9.045672178,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.95ms,9.0227s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.120905638,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.55ms,9.0227s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.041068554,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.78ms,9.0171s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.040517807,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0160s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.067051172,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.03ms,9.0408s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.049160242,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.57ms,9.0235s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.041982651,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.84ms,9.0162s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.04537797,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.89ms,9.0216s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.044033527,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.85ms,9.0183s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.046770573,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.63ms,9.0230s,2
1573168503-0,0,i-01a4b33cbe8125a01,m5d.large,9.045057058,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.13ms,9.0212s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.054904222,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.76ms,9.0214s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.040816069,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0172s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.040354013,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0174s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.056795359,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.19ms,9.0321s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.061144829,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.11ms,9.0225s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.041331768,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.11ms,9.0174s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.045454979,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.10ms,9.0219s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.100961924,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1811.84ms,9.0789s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.04165864,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.24ms,9.0192s,2
1573168503-0,0,i-020be99b4686b1b6f,m5d.large,9.050845146,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.63ms,9.0287s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.256487846,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.46ms,9.0230s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.045870304,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.77ms,9.0164s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.066528082,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.58ms,9.0358s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.053141117,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.00ms,9.0155s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.062632322,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0154s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.065598011,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0219s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.076104879,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.31ms,9.0278s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.066541672,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.30ms,9.0224s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.053077698,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.09ms,9.0285s,2
1573168503-0,0,i-024c707b1450f4d53,m5d.large,9.042411327,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.10ms,9.0156s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.059562922,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.55ms,9.0235s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.048556805,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.09ms,9.0230s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.048938513,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.51ms,9.0230s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.06558156,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.62ms,9.0404s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.055759192,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.81ms,9.0249s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.040667534,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0173s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.042953253,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.83ms,9.0197s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.082521677,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.59ms,9.0594s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.043075323,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.73ms,9.0214s,2
1573168503-0,0,i-0281a5a962880d98e,m5d.large,9.05152154,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.11ms,9.0289s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.077578068,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.60ms,9.0201s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.039655685,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.78ms,9.0164s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.040823936,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.94ms,9.0172s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.087297678,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.35ms,9.0473s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.060862541,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.95ms,9.0172s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.060155153,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.76ms,9.0177s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.071645021,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.70ms,9.0254s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.104842663,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.36ms,9.0586s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.055789948,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.27ms,9.0166s,2
1573168503-0,0,i-034ca80696bdf9e78,m5d.large,9.067540169,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.00ms,9.0303s,2
1573168503-0,0,i-0352fef0691cda759,m5d.large,9.056173325,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.47ms,9.0198s,2
