python3 distribute_work.py -b sysbench -c 5 -n 10 -d 2,,,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-4,4,i-001050c1bdb37b36e,m5d.large,9.044529915,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.14ms,9.0185s,2,,
1571978908-4,4,i-001050c1bdb37b36e,m5d.large,9.092121363,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.12ms,9.0314s,2,,
1571978908-4,4,i-001050c1bdb37b36e,m5d.large,9.076094151,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.53ms,9.0281s,2,,
1571978908-4,4,i-001050c1bdb37b36e,m5d.large,9.07034564,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.93ms,9.0204s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.05289197,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.03ms,9.0290s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.051759005,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.45ms,9.0246s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.036678076,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.75ms,9.0151s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.044556141,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.92ms,9.0216s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.044547081,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.32ms,9.0227s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.042392969,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.68ms,9.0197s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.039049387,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0177s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.085689545,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.23ms,9.0234s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.06456089,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.08ms,9.0165s,2,,
1571978908-4,4,i-002514db90407e7a4,m5d.large,9.073374748,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.22ms,9.0173s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.081384897,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.03ms,9.0317s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.057359219,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.38ms,9.0338s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.037970543,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.56ms,9.0166s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.038172245,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.52ms,9.0169s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.03725028,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.34ms,9.0169s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.041277647,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.58ms,9.0166s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.043629646,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.42ms,9.0233s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.068237782,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.18ms,9.0221s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.068515778,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0177s,2,,
1571978908-4,4,i-010734abc7e029645,m5d.large,9.063436508,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.64ms,9.0163s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.052466631,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.61ms,9.0284s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.041695595,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.94ms,9.0155s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.038410187,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.78ms,9.0183s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.040387154,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.64ms,9.0205s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.035946846,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.95ms,9.0167s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.035713196,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.94ms,9.0155s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.03957653,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.98ms,9.0192s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.048173189,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.18ms,9.0275s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.064247608,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.99ms,9.0155s,2,,
1571978908-4,4,i-0108823c394d58a23,m5d.large,9.037092209,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.05ms,9.0171s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.042880058,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.08ms,9.0230s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.051253796,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.08ms,9.0311s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.03337431,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.93ms,9.0148s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.034965754,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.62ms,9.0155s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.041019201,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.10ms,9.0219s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.040147305,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.73ms,9.0210s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.040456533,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.89ms,9.0203s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.045628071,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.27ms,9.0240s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.053821325,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.85ms,9.0164s,2,,
1571978908-4,4,i-0147c85eaa957f499,m5d.large,9.042008162,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.89ms,9.0163s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.058753014,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.60ms,9.0395s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.039017916,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.91ms,9.0173s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.040489912,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.76ms,9.0183s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.049998999,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.35ms,9.0275s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.040310144,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.74ms,9.0190s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.041281939,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.81ms,9.0177s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.08115077,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.67ms,9.0287s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.079365253,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.88ms,9.0209s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.06051755,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.06ms,9.0166s,2,,
1571978908-4,4,i-033c016e321407254,m5d.large,9.069914579,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.40ms,9.0171s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.066544771,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.33ms,9.0407s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.056427717,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.64ms,9.0333s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.040177822,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.04ms,9.0186s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.040812969,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.17ms,9.0186s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.042518139,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.79ms,9.0195s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.042412996,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.28ms,9.0188s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.049628258,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.13ms,9.0238s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.085904121,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.98ms,9.0359s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.065278769,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.55ms,9.0183s,2,,
1571978908-4,4,i-03c3e49dfdc90c04a,m5d.large,9.068203926,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.27ms,9.0183s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.060850382,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.90ms,9.0339s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.036316872,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.79ms,9.0152s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.041307926,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.55ms,9.0203s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.043263435,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.40ms,9.0231s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.036769629,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.64ms,9.0155s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.037368774,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.64ms,9.0161s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.059930325,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.46ms,9.0378s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.041652679,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.45ms,9.0197s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.063332319,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.91ms,9.0173s,2,,
1571978908-4,4,i-03fd9ceb5b105c582,m5d.large,9.051109076,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.32ms,9.0262s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.044500113,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.71ms,9.0227s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.065531015,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.67ms,9.0414s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.041104317,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.91ms,9.0175s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.047539234,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.75ms,9.0234s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.048461199,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.64ms,9.0252s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.039013386,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.94ms,9.0178s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.037610769,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.31ms,9.0169s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.049842358,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.42ms,9.0281s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.04487443,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.34ms,9.0237s,2,,
1571978908-4,4,i-051838e8918380892,m5d.large,9.040424824,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.41ms,9.0178s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.053632021,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.55ms,9.0180s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.041817188,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.89ms,9.0165s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.05348897,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.19ms,9.0247s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.05461812,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.71ms,9.0234s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.048019886,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.86ms,9.0199s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.081331253,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.02ms,9.0439s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.077738762,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.12ms,9.0209s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.185013294,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.99ms,9.0213s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.082627296,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.61ms,9.0285s,2,,
1571978908-4,4,i-05741e87947f9417d,m5d.large,9.094232321,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.61ms,9.0418s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.046181202,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.32ms,9.0212s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.090567827,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.76ms,9.0524s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.044204473,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.34ms,9.0209s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.046056032,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.45ms,9.0199s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.051524878,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.88ms,9.0268s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.05308795,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.33ms,9.0191s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.073582888,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.42ms,9.0200s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.094402552,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.63ms,9.0310s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.084780693,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.34ms,9.0301s,2,,
1571978908-4,4,i-058aac4c8b5980c21,m5d.large,9.074294806,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.42ms,9.0177s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.051955223,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.02ms,9.0306s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.056592464,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.39ms,9.0302s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.039996147,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.98ms,9.0163s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.046776533,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.61ms,9.0239s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.050561666,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.68ms,9.0234s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.041416407,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.78ms,9.0174s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.076566696,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.09ms,9.0190s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.092987061,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.21ms,9.0300s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.064735174,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.95ms,9.0157s,2,,
1571978908-4,4,i-05c514d7a91792838,m5d.large,9.072097778,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.27ms,9.0235s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.077631712,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.75ms,9.0257s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.06099844,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.80ms,9.0381s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.043412447,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.20ms,9.0205s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.053402662,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.62ms,9.0301s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.044648886,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.41ms,9.0181s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.040671825,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0175s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.055029869,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.77ms,9.0299s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.06143856,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.88ms,9.0288s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.062465906,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.32ms,9.0169s,2,,
1571978908-4,4,i-05dcc4bf10c89da31,m5d.large,9.044481754,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.87ms,9.0210s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.058955908,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.59ms,9.0369s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.045619965,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.68ms,9.0197s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.047319412,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.70ms,9.0189s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.053289175,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.91ms,9.0271s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.048141479,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.68ms,9.0201s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.054074526,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.86ms,9.0156s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.084186792,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.31ms,9.0304s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.071670294,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.57ms,9.0280s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.039835691,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.02ms,9.0166s,2,,
1571978908-4,4,i-062b6b41983765e64,m5d.large,9.036615849,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.06ms,9.0157s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.063948631,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.50ms,9.0427s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.037976742,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0149s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.038078785,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.82ms,9.0142s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.050469637,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.16ms,9.0266s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.041973352,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.72ms,9.0163s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.051932096,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.69ms,9.0162s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.085808754,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.14ms,9.0288s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.08737278,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.61ms,9.0230s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.066664934,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0181s,2,,
1571978908-4,4,i-064ba764037e0814e,m5d.large,9.073931932,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.42ms,9.0173s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.048934698,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.06ms,9.0170s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.041259289,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.19ms,9.0172s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.048390627,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.16ms,9.0280s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.040483236,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.11ms,9.0168s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.037994146,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.08ms,9.0159s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.057359934,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.53ms,9.0346s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.041708708,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.25ms,9.0175s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.080962896,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.12ms,9.0198s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.07481432,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.73ms,9.0243s,2,,
1571978908-4,4,i-067b12c11c0f3fe4c,m5d.large,9.079807997,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.61ms,9.0245s,2,,
1571978908-4,4,i-0721ed04cfe6d98ee,m5d.large,9.067258358,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.70ms,9.0313s,2,,
1571978908-4,4,i-0721ed04cfe6d98ee,m5d.large,9.058591127,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.97ms,9.0317s,2,,
