experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574752581-10,i-029309b5aee386a90,z1d.large,6.787409306,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.99ms,6.7691s,2
1574752581-11,i-029309b5aee386a90,z1d.large,6.789063215,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.19ms,6.7623s,2
1574752581-11,i-029309b5aee386a90,z1d.large,6.779961586,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.00ms,6.7610s,2
1574752581-11,i-029309b5aee386a90,z1d.large,6.784942389,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.84ms,6.7656s,2
1574752581-12,i-029309b5aee386a90,z1d.large,6.786217928,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.07ms,6.7605s,2
1574752581-12,i-029309b5aee386a90,z1d.large,6.779495716,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.99ms,6.7616s,2
1574752581-12,i-029309b5aee386a90,z1d.large,6.783061028,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.59ms,6.7644s,2
1574752581-0,i-05973d6d31f353006,z1d.large,6.854467392,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.91ms,6.7612s,2
1574752581-0,i-05973d6d31f353006,z1d.large,6.782151699,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.98ms,6.7614s,2
1574752581-0,i-05973d6d31f353006,z1d.large,6.788182259,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.48ms,6.7630s,2
1574752581-1,i-05973d6d31f353006,z1d.large,6.810346127,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.08ms,6.7624s,2
1574752581-1,i-05973d6d31f353006,z1d.large,6.789978266,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.89ms,6.7635s,2
1574752581-1,i-05973d6d31f353006,z1d.large,6.791524172,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.51ms,6.7658s,2
1574752581-2,i-05973d6d31f353006,z1d.large,6.813910723,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.91ms,6.7637s,2
1574752581-2,i-05973d6d31f353006,z1d.large,6.785901308,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.98ms,6.7616s,2
1574752581-2,i-05973d6d31f353006,z1d.large,6.787508488,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.49ms,6.7651s,2
1574752581-3,i-05973d6d31f353006,z1d.large,6.800205469,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.91ms,6.7632s,2
1574752581-3,i-05973d6d31f353006,z1d.large,6.783873081,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.96ms,6.7626s,2
1574752581-3,i-05973d6d31f353006,z1d.large,6.795213461,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.49ms,6.7725s,2
1574752581-4,i-05973d6d31f353006,z1d.large,6.80886817,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.95ms,6.7608s,2
1574752581-4,i-05973d6d31f353006,z1d.large,6.788171768,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.11ms,6.7608s,2
1574752581-4,i-05973d6d31f353006,z1d.large,6.784724951,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.92ms,6.7623s,2
1574752581-5,i-05973d6d31f353006,z1d.large,6.793336868,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.17ms,6.7611s,2
1574752581-5,i-05973d6d31f353006,z1d.large,6.784522533,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.79ms,6.7614s,2
1574752581-5,i-05973d6d31f353006,z1d.large,6.785684109,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.48ms,6.7630s,2
1574752581-6,i-05973d6d31f353006,z1d.large,6.787420511,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.13ms,6.7613s,2
1574752581-6,i-05973d6d31f353006,z1d.large,6.782500505,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.89ms,6.7603s,2
1574752581-6,i-05973d6d31f353006,z1d.large,6.786453485,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.45ms,6.7624s,2
1574752581-7,i-05973d6d31f353006,z1d.large,6.785379887,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.44ms,6.7637s,2
