experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574832396-0,0,i-0bd7297ea3249dfe3,z1d.large,6.79139185,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.24ms,6.7675s,2
1574832396-0,0,i-0bd7297ea3249dfe3,z1d.large,6.795378208,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.64ms,6.7706s,2
1574832396-0,0,i-082b0ee8827dfb932,z1d.large,6.83590579,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.91ms,6.7840s,2
1574832396-0,0,i-082b0ee8827dfb932,z1d.large,6.790976763,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.62ms,6.7678s,2
1574832396-0,0,i-082b0ee8827dfb932,z1d.large,6.798618555,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.07ms,6.7704s,2
1574832396-0,0,i-0571d783e08eeefca,z1d.large,6.910148144,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1363.43ms,6.8611s,2
1574832396-0,0,i-0571d783e08eeefca,z1d.large,6.916428566,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1365.26ms,6.8874s,2
1574832396-0,0,i-0571d783e08eeefca,z1d.large,6.88668704,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1363.73ms,6.8576s,2
1574832396-0,0,i-0931851f8c4bac439,z1d.large,6.822188139,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.74ms,6.7692s,2
1574832396-0,0,i-0931851f8c4bac439,z1d.large,6.798066854,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.85ms,6.7672s,2
1574832396-0,0,i-0931851f8c4bac439,z1d.large,6.792143822,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.90ms,6.7650s,2
1574832396-0,0,i-0f8a8b0ebf4419714,z1d.large,6.823824644,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.61ms,6.7823s,2
1574832396-0,0,i-0f8a8b0ebf4419714,z1d.large,6.794114113,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.90ms,6.7662s,2
1574832396-0,0,i-0f8a8b0ebf4419714,z1d.large,6.798978567,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.10ms,6.7710s,2
1574832396-0,0,i-0c390ac086616c1f4,z1d.large,6.86063695,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1355.39ms,6.7836s,2
