instanceID,setId,tenants,sysbench_wallTime,sysbench_std_wallTime,y_cruncher_wallTime,y_cruncher_std_wallTime,pgbench_transactions,pgbench_std_transactions,instanceID,iperf_bandwidthUpload,iperf_bandwitdhDownload,iperf_total,iperf_stdUp,iperf_stdDown,iperf_stdTotal
i-095d06d26dd29ecec,0,48,9.045044766,0.008877398,6.447940721,0.070891561,124327.6667,755.2260147,i-095d06d26dd29ecec,508.9,536.6,1045.5,147.077795,197.2433353,302.1773762
i-0977cb2af690d36fd,0,48,9.045972877,0.012446748,6.512336572,0.034464482,124736.3333,697.5738909,i-0977cb2af690d36fd,419.5,529.8,949.3,126.230169,109.3595497,157.6642354
i-09c658651b17c197e,0,48,9.044664992,0.006799474,6.534470532,0.069501586,121159.3333,632.7474483,i-09c658651b17c197e,577.6,527.8,1105.4,264.3311055,123.6696316,356.6243589
i-0ab84c959b473605a,0,48,9.043553882,0.005767131,6.521531714,0.062810187,123040,39.39543121,i-0ab84c959b473605a,681.6,832.8,1514.4,391.6628936,555.3573024,912.9689297
i-0aecb3d1daeccc874,0,48,9.042002015,0.006204144,6.554966238,0.052742295,124828.3333,399.5814477,i-0aecb3d1daeccc874,480.7,607.6,1088.3,156.0584292,158.9180082,290.3010124
i-0b138e3642a677559,0,48,9.046331935,0.007391528,6.512674544,0.076821825,123374.3333,632.0967753,i-0b138e3642a677559,461.8,592.1,1053.9,179.9449298,354.2822008,480.0919935
i-0b3a38b18367faa71,0,48,9.041518821,0.004723593,6.42095542,0.061844868,122475.6667,179.0595804,i-0b3a38b18367faa71,1052.2,791.4,1843.6,738.1870886,446.0140008,1157.70023
i-0ba417327f988ba2b,0,48,9.051400609,0.008276826,6.564233223,0.055428457,122970.6667,512.4747148,i-0ba417327f988ba2b,650.2,896.4,1546.6,399.848249,490.0578651,762.3348929
i-0bfaa8f4e041c36fa,0,48,9.042822626,0.005352197,6.510713047,0.040710124,124206.6667,560.102074,i-0bfaa8f4e041c36fa,741.8,729.1,1470.9,508.0721296,294.0897255,758.9448011
i-0c3e9f9e7b281edfe,0,48,9.043050289,0.006908971,6.534842253,0.062635094,125848.6667,118.7490351,i-0c3e9f9e7b281edfe,461.5,472.6,934.1,157.3179724,160.1909971,289.2259593
i-0cc4b604b837f69d9,0,48,9.041385438,0.005421605,6.535389874,0.028281566,123427,730.5073579,i-0cc4b604b837f69d9,567.4,485.8,1053.2,229.7260204,130.6129141,349.6155984
i-0d136c81f43ce8a29,0,48,9.041906754,0.004895534,6.530932586,0.045572374,123526.6667,116.7490186,i-0d136c81f43ce8a29,634.1,553.9,1188,251.7403645,167.8375206,333.3616655
i-0d1c421d52c368b29,0,48,9.045024739,0.007639615,6.551235543,0.103286364,123335.6667,399.8153741,i-0d1c421d52c368b29,848.7,825.1,1673.8,688.5172555,588.8962274,1264.805896
i-0d44050a4e6a71d7c,0,48,9.043125656,0.007204926,6.461177164,0.070443005,124210,530.534636,i-0d44050a4e6a71d7c,373.8,444.4,818.2,109.4154163,177.0381001,282.2326857
i-0d6feb91baa545931,0,48,9.042877647,0.00704998,6.578729418,0.054712149,121454.6667,359.1884371,i-0d6feb91baa545931,547.1,520.3,1067.4,171.958296,95.77873807,250.017866
i-0d75b8bf3603b2040,0,48,9.04240489,0.008487579,6.476328929,0.081370332,122447,715.2286348,i-0d75b8bf3603b2040,495.9,561.3,1057.2,148.3018319,143.6152654,242.357312
i-0dcfa6d3bc470d28d,0,48,9.044136392,0.007285642,6.48754006,0.064364339,124719.6667,656.1534373,i-0dcfa6d3bc470d28d,490.5,626.5,1117,147.5392603,127.2244299,147.7475324
i-0e167bbfcd6a685f5,0,48,9.043405639,0.006921948,6.519094414,0.047112849,122529.6667,544.4908937,i-0e167bbfcd6a685f5,818.5,661.9,1480.4,417.0684063,347.1821328,744.6105917
i-0ede59d8254436a40,0,48,9.040961583,0.006045183,6.539021095,0.079168348,123651.3333,98.00680248,i-0ede59d8254436a40,558.6,521,1079.6,267.3920135,176.4394766,409.7986497
i-0f285214d5c41327e,0,48,9.043334325,0.005417574,6.409571992,0.040050412,123640.6667,376.3911972,i-0f285214d5c41327e,567.5,471.9,1039.4,169.4981154,99.21743798,248.4611304
i-0f472084ac3992ad9,0,48,9.044530551,0.007201069,6.55292307,0.15563793,125537.3333,638.5266896,i-0f472084ac3992ad9,735,767.6,1502.6,465.9341871,414.3351301,769.0513926
