,iperf,sysbench,ycruncher,pgbench,setId,vmId
3298,1099.0,9.041995287,6.461625337999999,122602,47,19
3299,982.0,9.078798294,6.3698437210000005,122473,47,19
3300,664.0,9.058783293,6.438052892999999,124209,47,20
3301,725.0,9.043447971,6.454086304,124005,47,20
3302,846.0,9.10079813,6.3244555,125438,47,20
3303,781.0,9.065544367000001,6.399190187,122803,47,21
3304,1091.0,9.043789863999999,6.387151717999999,123140,47,21
3305,1244.0,9.054715157,6.3832108970000005,123554,47,21
3306,1751.0,9.06597352,6.727131605,121454,47,22
3307,1581.0,9.049554348,6.5647096629999995,121766,47,22
3308,1245.0,9.107372998999999,6.284887314,122353,47,22
3309,585.0,9.059270859,6.531651974,123967,47,23
3310,1442.0,9.037375927000001,6.548137665,123963,47,23
3311,1128.0,9.104483842999999,6.49456811,124141,47,23
3312,1503.0,9.06892848,6.410592318,125649,47,24
3313,1058.0,9.045964241,6.437097549,126474,47,24
3314,875.0,9.035008907,6.352818727000001,126277,47,24
3315,1247.0,9.054988146,6.509865999,124039,47,25
3316,1189.0,9.054561138,6.4697680470000005,124465,47,25
3317,891.0,9.09630847,6.4156978129999995,124392,47,25
3318,1114.0,9.058008909,6.522264481000001,115610,47,26
3319,965.0,9.048072815,6.57677865,115647,47,26
3320,1226.0,9.093409300000001,6.585011959,115541,47,26
3321,668.0,9.058264494,6.552624941,122129,47,27
3322,1159.0,9.036438704,6.665897608,121988,47,27
3323,1247.0,9.081029415,6.6370432379999995,122756,47,27
3324,1623.0,9.040579557000001,6.535493612000001,124197,47,28
3325,745.0,9.051190853,6.532655478,124724,47,28
3326,1132.0,9.059040546,6.5301404000000005,124888,47,28
3327,1258.0,9.035108805,6.442245722000001,121422,47,29
3328,970.0,9.03954792,6.538814306,122010,47,29
3329,812.0,9.039334297,6.7502169610000005,121939,47,29
3330,1117.0,9.038209915,6.465508937999999,124917,47,30
3331,659.0,9.042612553,6.344995022000001,125385,47,30
3332,990.0,9.036655903,6.302526951,125187,47,30
3333,1020.0,9.063737154,6.5233497620000005,124108,47,31
3334,1039.0,9.045958281,6.583328009,123666,47,31
3335,1247.0,9.087142944,6.524615526,124264,47,31
3336,1068.0,9.038225889,6.441400766,124104,47,32
3337,1190.0,9.041381121,6.408366203,124937,47,32
3338,1243.0,9.04665494,6.329345942000001,124956,47,32
3339,1347.0,9.057341099,6.54123807,123671,47,33
3340,1239.0,9.037896872000001,6.543879509,123614,47,33
3341,1028.0,9.082681894,6.5435991289999995,123815,47,33
3342,1032.0,9.059433699,6.430288792000001,124555,47,34
3343,946.0,9.042277813,6.473257303,124716,47,34
3344,1261.0,9.084205151,6.3732128139999995,124910,47,34
3345,1105.0,9.063963413,6.494512557999999,123500,47,35
3346,908.0,9.040659904,6.533020972999999,123695,47,35
3347,1107.0,9.082611084,6.503146887000001,123576,47,35
3348,768.0,9.040018559,6.423513412,125096,47,36
3349,944.0,9.040714025,6.421235322999999,125619,47,36
3350,722.0,9.040280581000001,6.333449125,125525,47,36
3351,1257.0,9.060807228,6.478709459,123353,47,37
3352,1258.0,9.039006947999999,6.526028872,122815,47,37
3353,1151.0,9.101947069,6.516197205,123303,47,37
3354,945.0,9.04099679,6.469410657999999,123991,47,38
3355,1037.0,9.045324802,6.3553197379999995,124010,47,38
3356,1309.0,9.040991782999999,6.33135128,123533,47,38
3357,651.0,9.047880173,6.596786022000001,123183,47,39
3358,1249.0,9.038958311,6.564514637,123536,47,39
3359,1223.0,9.048152208,6.443730116,124393,47,39
3360,669.0,9.069974422,6.521699905,123341,47,40
3361,899.0,9.044842958,6.545495987000001,124522,47,40
