11-16-2019,python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,
experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573960552-3,i-0d6feb91baa545931,m5d.large,9.056243658,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.36ms,9.0178s,2
1573960552-3,i-0d6feb91baa545931,m5d.large,9.062426567,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.90ms,9.0179s,2
1573960552-3,i-0d6feb91baa545931,m5d.large,9.065952539,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.49ms,9.0204s,2
1573960552-3,i-0d6feb91baa545931,m5d.large,9.066211462,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.90ms,9.0158s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.061097145,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.71ms,9.0192s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.043750048,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.43ms,9.0222s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.038786888,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.74ms,9.0185s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.048535347,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.86ms,9.0263s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.044497967,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0184s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.067117214,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.07ms,9.0385s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.042379379,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.03ms,9.0168s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.039858103,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.67ms,9.0174s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.043944359,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.50ms,9.0191s,2
1573960552-4,i-0d6feb91baa545931,m5d.large,9.04615593,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.98ms,9.0177s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.049396038,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0170s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.049270153,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.81ms,9.0202s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.041111708,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.57ms,9.0175s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.038986921,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.84ms,9.0184s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.038883448,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0176s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.071724892,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.01ms,9.0473s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.039384604,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.70ms,9.0176s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.039309978,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.65ms,9.0173s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.039396286,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.40ms,9.0181s,2
1573960552-5,i-0d6feb91baa545931,m5d.large,9.036368847,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.75ms,9.0164s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.051645041,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.74ms,9.0161s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.03671217,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.67ms,9.0165s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.042877436,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.91ms,9.0209s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.039764881,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.15ms,9.0184s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.037734509,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.59ms,9.0156s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.067249775,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.59ms,9.0473s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.036653757,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.78ms,9.0173s,2
1573960552-6,i-0d6feb91baa545931,m5d.large,9.035963774,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.80ms,9.0148s,2
